sub-SPAIN38_ses-B_task-squeeze_run-1_bold,25
sub-SPAIN38_ses-B_task-squeeze_run-2_bold,25
sub-SPAIN39_ses-A_task-squeeze_run-1_bold,25
sub-SPAIN39_ses-A_task-squeeze_run-2_bold,25
sub-SPAIN39_ses-B_task-squeeze_run-1_bold,26
sub-SPAIN39_ses-B_task-squeeze_run-2_bold,26
sub-SPAIN40_ses-A_task-squeeze_run-1_bold,29
sub-SPAIN40_ses-A_task-squeeze_run-2_bold,29
sub-SPAIN40_ses-B_task-squeeze_run-1_bold,31
sub-SPAIN40_ses-B_task-squeeze_run-2_bold,31
sub-SPAIN41_ses-A_task-squeeze_run-1_bold,27
sub-SPAIN41_ses-A_task-squeeze_run-2_bold,27
sub-SPAIN41_ses-B_task-squeeze_run-1_bold,29
sub-SPAIN41_ses-B_task-squeeze_run-2_bold,29
sub-SPAIN44_ses-A_task-squeeze_run-1_bold,28
sub-SPAIN44_ses-A_task-squeeze_run-2_bold,28
sub-SPAIN44_ses-B_task-squeeze_run-1_bold,29
sub-SPAIN44_ses-B_task-squeeze_run-2_bold,29
sub-SPAIN49_ses-A_task-squeeze_run-1_bold,28
sub-SPAIN49_ses-A_task-squeeze_run-2_bold,28
sub-SPAIN49_ses-B_task-squeeze_run-1_bold,27
sub-SPAIN49_ses-B_task-squeeze_run-2_bold,27
sub-SPAIN52_ses-A_task-squeeze_run-1_bold,28
sub-SPAIN52_ses-A_task-squeeze_run-2_bold,28
sub-SPAIN52_ses-B_task-squeeze_run-1_bold,26
sub-SPAIN52_ses-B_task-squeeze_run-2_bold,26
sub-SPAIN55_ses-A_task-squeeze_run-1_bold,30
sub-SPAIN55_ses-A_task-squeeze_run-2_bold,30
sub-SPAIN55_ses-B_task-squeeze_run-1_bold,29
sub-SPAIN55_ses-B_task-squeeze_run-2_bold,29
