2.5	2.5	1
5	2.5	1
7.5	2.5	1
10	2.5	1
12.5	2.5	1
15	2.5	1
17.5	2.5	1
20	2.5	1
42.5	2.5	1
45	2.5	1
47.5	2.5	1
50	2.5	1
52.5	2.5	1
55	2.5	1
57.5	2.5	1
60	2.5	1
82.5	2.5	1
85	2.5	1
87.5	2.5	1
90	2.5	1
92.5	2.5	1
95	2.5	1
97.5	2.5	1
100	2.5	1
122.5	2.5	1
125	2.5	1
127.5	2.5	1
130	2.5	1
132.5	2.5	1
135	2.5	1
137.5	2.5	1
140	2.5	1
162.5	2.5	1
165	2.5	1
167.5	2.5	1
170	2.5	1
172.5	2.5	1
175	2.5	1
177.5	2.5	1
180	2.5	1
202.5	2.5	1
205	2.5	1
207.5	2.5	1
210	2.5	1
212.5	2.5	1
215	2.5	1
217.5	2.5	1
220	2.5	1
242.5	2.5	1
245	2.5	1
247.5	2.5	1
250	2.5	1
252.5	2.5	1
255	2.5	1
257.5	2.5	1
260	2.5	1
282.5	2.5	1
285	2.5	1
287.5	2.5	1
290	2.5	1
292.5	2.5	1
295	2.5	1
297.5	2.5	1
300	2.5	1
