0.000	2.500	-73.107
2.500	2.500	-22.777
5.000	2.500	22.323
7.500	2.500	21.113
10.000	2.500	20.963
12.500	2.500	19.473
15.000	2.500	21.633
17.500	2.500	9.123
40.000	2.500	5.213
42.500	2.500	6.103
45.000	2.500	14.353
47.500	2.500	12.693
50.000	2.500	17.743
52.500	2.500	15.273
55.000	2.500	9.063
57.500	2.500	8.963
80.000	2.500	-6.827
82.500	2.500	-1.617
85.000	2.500	6.513
87.500	2.500	0.783
90.000	2.500	8.893
92.500	2.500	13.333
95.000	2.500	5.223
97.500	2.500	19.473
120.000	2.500	-17.107
122.500	2.500	10.283
125.000	2.500	10.973
127.500	2.500	0.693
130.000	2.500	-2.047
132.500	2.500	5.193
135.000	2.500	3.333
137.500	2.500	-3.977
160.000	2.500	3.293
162.500	2.500	13.233
165.000	2.500	11.353
167.500	2.500	7.253
170.000	2.500	-6.287
172.500	2.500	4.453
175.000	2.500	-5.457
177.500	2.500	-16.307
200.000	2.500	-53.947
202.500	2.500	0.693
205.000	2.500	11.423
207.500	2.500	4.403
210.000	2.500	-8.637
212.500	2.500	1.463
215.000	2.500	-5.667
217.500	2.500	8.613
240.000	2.500	0.593
242.500	2.500	4.233
245.000	2.500	-3.777
247.500	2.500	7.183
250.000	2.500	1.603
252.500	2.500	-8.467
255.000	2.500	-1.677
257.500	2.500	-13.997
280.000	2.500	-66.447
282.500	2.500	-9.147
285.000	2.500	0.643
287.500	2.500	-19.257
290.000	2.500	-3.927
292.500	2.500	-6.697
295.000	2.500	-6.577
297.500	2.500	-5.427
