0.000	2.500	-47.337
2.500	2.500	8.003
5.000	2.500	10.773
7.500	2.500	8.173
10.000	2.500	8.443
12.500	2.500	3.033
15.000	2.500	5.303
17.500	2.500	4.783
40.000	2.500	-2.467
42.500	2.500	6.603
45.000	2.500	1.293
47.500	2.500	-7.657
50.000	2.500	2.683
52.500	2.500	-0.427
55.000	2.500	2.383
57.500	2.500	-9.627
80.000	2.500	1.953
82.500	2.500	3.583
85.000	2.500	8.183
87.500	2.500	4.983
90.000	2.500	6.443
92.500	2.500	5.023
95.000	2.500	1.973
97.500	2.500	3.203
120.000	2.500	1.583
122.500	2.500	4.643
125.000	2.500	4.383
127.500	2.500	3.823
130.000	2.500	2.433
132.500	2.500	3.633
135.000	2.500	0.733
137.500	2.500	0.853
160.000	2.500	1.843
162.500	2.500	2.733
165.000	2.500	3.043
167.500	2.500	2.633
170.000	2.500	4.493
172.500	2.500	-1.237
175.000	2.500	-0.457
177.500	2.500	-0.097
200.001	2.500	2.003
202.501	2.500	1.063
205.001	2.500	1.443
207.501	2.500	-3.507
210.000	2.500	-12.077
212.500	2.500	1.083
215.000	2.500	3.973
217.500	2.500	-0.677
240.000	2.500	-2.847
242.500	2.500	-0.607
245.000	2.500	3.653
247.500	2.500	0.313
250.000	2.500	-2.447
252.500	2.500	-2.457
255.000	2.500	-3.337
257.500	2.500	-3.147
280.000	2.500	-7.967
282.500	2.500	-4.867
285.000	2.500	-15.997
287.500	2.500	-1.657
290.000	2.500	-7.357
292.500	2.500	-1.697
295.000	2.500	-3.007
297.500	2.500	-4.247
